City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Bhopal,,,Hotel O shiv Shakti,531,"Scored 7.3
7.3
Good
4 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/640515524.webp?k=5f4d344cc88e54d8a772786b77a734970eaf2ce9f7918c4d2e963493c783a1ff&o=
Bhopal,,,Giovanni Village Resort,"10,580","Scored 7.0
7.0
Good
15 reviews",King Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/542738748.webp?k=8e361d28d7b93d6390ef0f3613ab95efe6e25adb028f91007e604fdfc5799a8e&o=
Bhopal,,,FabHotel Midland,977,"Scored 6.1
6.1
Review score
48 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/625970066.webp?k=190d55bde644f23cb53062a3535fdb8f6d5bce707e8147a8cb3af87ef2a53fc6&o=
Bhopal,,,Collection O Hotel Sawariya Regency,628,"Scored 3.5
3.5
Review score
2 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/648849975.webp?k=9032d3d82be80a0b413ceb720dd5645a48895a206def49f5275c37ae3cbd72ea&o=
Indore,,,Super Collection O Ganeshpuri ,866,"Scored 7.6
7.6
Good
9 reviews",Standard Double Room,Free cancellation,https://cf.bstatic.com/xdata/images/hotel/square600/652999579.webp?k=79fc9d0442c8fd5e6dc5e619238de95d145b351fa4ea73f8c851a8eee65c3a70&o=
Indore,,,Essentia Luxury Hotel ,"5,346","Scored 8.3
8.3
Very good
658 reviews",Deluxe King Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/345742266.webp?k=8b0e8621ee8715d5c5f42ae2d14ce266361a4cc1c7156d677f2ed265e6cea07a&o=
Indore,,,Radisson Blu Hotel ,"6,801","Scored 8.2
8.2
Very good
762 reviews",Business Double Room with complimentary 10% discount on food,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/485557420.webp?k=155b02dabd751126165e7ca725a8d1208b65331035c93814172e2e5b53980ddf&o=
Indore,,,FabHotel Prime The Grey Circle,"2,307","Scored 8.6
8.6
Fabulous
61 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/599458303.webp?k=9568c57c5f2ebdc834d14788afeb516fbc0f0cda2dc4271bc786b3a56bc34483&o=
Indore,,,Super Townhouse Pine Tree,"1,196","Scored 8.0
8.0
Very good
99 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/635945177.webp?k=39fe02a64f1514159b2fd32f1f18171b4d9958f6ed6b5394eb2e6096c5672403&o=
Indore,,, Marriott Hotel,"6,250","Scored 8.6
8.6
Fabulous
701 reviews","Standard King, Guest Room, 1 King Bed",N/A,https://cf.bstatic.com/xdata/images/hotel/square600/461653129.webp?k=ba3c779c0f79c88a75d98b58f903faebd9d995adb35b3d80a9f5dd7f714d66f4&o=
