Images,Name,Rating,People rated ,Destination type,Prices,City
https://lh3.googleusercontent.com/gps-cs-s/AB5caB_rexElYjDdZc9Al-ruRGdBnD7xMKybTfXo1XN6vbDSoDXAVH7uVCPXAKcqpJ35heV2Gqb-jYqC8-RVjT7C4StZhqXcYpiCtZlQlrfgoU5VpdYPcZ0P-yq3_GWx0IZNY0oJaII5Dg=w148-h148-n-k-no,Ammaji Mandir,4.6,,Hindu temple,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB_QVtZKiUELx7rLA0OUNHxtSHcRfigQU2E7VdB7tbbcHOZzRBtdT9BaHTLw0oB12bfhkhpE4D1JeNXwPZJWXo6sqi_01rUFPd_HF9run_TWb1bQHZu_SjLN-4WF7LmbXEUmRAFT=w148-h148-n-k-no,Sri Nageshwarnath Temple,No rating available,,Building,Free,ayodhya
https://lh5.googleusercontent.com/p/AF1QipOcYK3qcpok7ZrM0_7u4wnlHU5xyrPHDihmIakK=w148-h148-n-k-no,Shri vaidehi Vallabh kunj Vaman mandir swarg dwar ayodhya,3.8,,Hindu temple,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB-ddrPazcWA_jknhC1fidEFR7uMQawSpa0YqzN0dXBP60V9ikSlBZK0elBYrtxdKZQyZ0uEHALqbcxtwLw5NzmwUHyHxASTKRjBIS2DL4Ihkb2WA_ArBvy9iH-iuWoPlAvkfaht9Q=w148-h148-n-k-no,Dashrath Mahal Ayodhya,4.5,(1K),Hindu temple,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB-6y5JZaIdE3uJApdGo_tDk4KUji0r9XkFrsB0pjUv1Nce70jfqP0fhugja39BIYNMT97PD5_wvs8snHgyOlGHPiUPLFqxHug8EWHW9hhKQSsRNHa83T5Qudczzh9fRnDX-qPAJjA=w148-h148-n-k-no,Mani Parvat Temple,No rating available,,Compound grounds,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB_PpPJaIlDRGm6Ly5jYYm4JDQ65SQEwLCz9kQM0UaO5_tGamKQ4c7OBfbD0WdsGMKrOd2VCkVDJuXXf26GB7Z68Qqg2wOmVzfO8gOPr4GBxuwqhPjWOLrSeiF7vkl0PUAzBKACf=w148-h148-n-k-no,Shree RamLala Devsthanam Temple,4.8,,Hindu temple,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB_FFXwFagNvxlMZRHkCJOELAL6Zgj-h-da6wsXfrshF1RbPG6kQcgTHlRCUituVa6ZJLSq28PdgoVehjSGRVMr6b8ZuSU44DXLbIKfAG80CtB1UwD09DLZ_98kOOmouqhtpxp2_Ig=w148-h148-n-k-no,Ram Ki Paidi,4.7,(1.6K),Water,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB-KSjPNbKibpVc6k7PdQrRBOXIURLZDyUml27gK-sTbkvq_ymMaxuSdKQ0dmrsroBdlTq23NZHCk-qvsSRqOwaQcUy0JPOfYIHEC_NwekN3zFC0Yvkfjr0hrGm-Kns-mDkJDoWZ=w148-h148-n-k-no,रामलला धाम मन्दिर,4.4,,Hindu temple,Free,ayodhya
https://lh3.googleusercontent.com/gps-cs-s/AB5caB_luHgLWqLqB0H4sz3l99HD1XmICJ_IstlhcWKj64g9sN6m2fKuM7YPKF1jYI_jYXxjXYGY49YihdhHOf8zTZpFD9zhUfUwJGph3I3TQV--2s3OH5JWIujm-6Tt_t8w9FkniiOLQw=w148-h148-n-k-no,Tomb of Bahu Begum,4.2,,Historical landmark,Free,ayodhya
https://lh5.googleusercontent.com/p/AF1QipPt3btSOssYcfo4DSHxPjK8ukfMbs3_Cfly08x-=w148-h148-n-k-no,Madhya Pradesh Tribal Museum,4.7,(16K),Heritage museum,₹400.00,Bhopal
