status,message,timestamp,data__train_number,data_train_name,data__run_days__001,data__run_days__002,data__run_days__003,data__run_days__004,data__run_days__005,data__run_days__006,data__run_days__007,data__train_src,src,data__train_dstn,dstn,data__from_std,data__from_sta,data__local_train_from_sta,data__to_sta,data__to_std,data__from_day,data__to_day,data__d_day,data__from,data__to,data__from_station_name,data__to_station_name,data__halt_stn,data__distance,data__duration,data__special_train,data__train_type,data__score,data__score_train_type,data__score_booking_requency,data__frequency_perc,data__from_distance_text,data__to_distance_text,data__has_pantry,data__is_monsoon_timing_applicable,data__duration_rating,data__score_duration,data__score_std,data__score_user_preferred,data__train_date,data__class_type__001,data__class_type__002,data__class_type__003,data__class_type__004,data__class_type__005,data__class_type__006
,,,12919,Malwa SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DADN,Indore,SVDK,Bhopal,12:15,12:05,725,17:20,17:30,0,0,0,INDB,BPL,INDORE JN BG,BHOPAL  JN,9,262,05:05,FALSE,MAIL EXPRESS,21,5,0,0,,5 Kms from RKMP,TRUE,FALSE,4,6,10,0,18-03-2025,SL,3E,3A,2A,,
,,,19343,Penchvalley Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,SEY,Bhopal,13:05,13:05,785,18:25,18:27,0,0,0,INDB,RKMP,INDORE JN BG,RANI KAMLAPATI,11,224,05:20,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,4,4,10,0,18-03-2025,SL,3A,,,,
,,,19303,Indore - Bhopal Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,BPL,Bhopal,23:15,23:15,1395,05:10,05:10,0,1,0,INDB,BPL,INDORE JN BG,BHOPAL JN,12,263,05:55,FALSE,MEX,19,5,0,0,,5 Kms from RKMP,FALSE,FALSE,5,4,10,0,18-03-2025,SL,3A,,,,
,,,18233,Narmada Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,BSP,Bhopal,16:00,16:00,960,22:18,22:20,0,0,0,INDB,RKMP,INDORE JN BG,RANI KAMLAPATI,13,269,06:18,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,5,4,10,0,18-03-2025,SL,3A,2A,1A,,
TRUE,Success,1.74E+12,20912,VANDE BHARAT EXP,Mon,Tue,Wed,Thu,Fri,Sat,,NGP,Ujjain,INDB,Indore,22:45,22:40,1360,23:50,23:50,0,0,0,UJN,INDB,UJJAIN JN,INDORE JN BG,0,63,01:05,FALSE,MAIL EXPRESS,30,10,0,0,,,FALSE,FALSE,1,10,10,0,18-03-2025,CC,EC,,,,
,,,12961,Avantika SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,MMCT,Ujjain,INDB,Indore,07:35,07:30,1890,09:10,09:10,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:35,FALSE,SUF,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,2S,SL,3E,3A,2A,1A
,,,14116,Prayagraj - Dr Ambedkar Nagar Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,PRYJ,Ujjain,DADN,Indore,06:50,06:40,1840,08:25,08:35,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,0,65.61,01:35,FALSE,MEX,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,SL,3E,3A,2A,,
,,,19304,Bhopal - Indore Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,BPL,Ujjain,INDB,Indore,03:05,02:50,1610,04:45,04:45,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:40,FALSE,MEX,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,SL,3A,,,,
,,,20935,GANDHIDHAM - INDORE SF Express,Tue,,,,,,,GIMB,Ujjain,INDB,Indore,07:15,07:10,1870,08:55,08:55,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:40,FALSE,MAIL EXPRESS,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,12416,Intercity SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,NDLS,Ujjain,INDB,Indore,08:25,08:20,1940,10:05,10:05,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:40,FALSE,INT,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19306,Kamakhya - Dr. Ambedkar Nagar Express,Tue,,,,,,,KYQ,Ujjain,DADN,Indore,03:15,03:00,3060,04:55,05:05,2,2,2,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:40,FALSE,MAIL EXPRESS,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,2S,SL,3E,3A,2A,
,,,11126,InterCity Express,Tue,Wed,Fri,Sat,,,,GWL,Ujjain,RTM,Indore,05:17,05:02,1742,07:00,07:25,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79,01:43,FALSE,INT,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,22943,DAUND - INDORE SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DD,Ujjain,INDB,Indore,06:40,06:35,1835,08:30,08:30,1,1,1,UJN,INDB,UJJAIN JN,INDORE JN BG,1,79.4,01:50,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,2,6,10,0,18-03-2025,SL,3A,2A,1A,,
,,,12466,Ranthambhore SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,BGKT,Ujjain,INDB,Indore,19:15,19:10,1150,21:05,21:05,0,0,0,UJN,INDB,UJJAIN JN,INDORE JN BG,1,80,01:50,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,2,6,10,0,18-03-2025,SL,3A,,,,
