Departure,From,Arival,To,Airline,Duration,Stops,Layover time,layover,Via,layover at,Price
21:50,Varanasi,07:20,Bhopal,"Air India Express, Air India",9 hrs 30 min,1 stop,6 hrs 30 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹12,588"
21:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",18 hrs 10 min,1 stop,15 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹12,588"
13:25,Varanasi,12:00,Bhopal,Air India,22 hrs 35 min,1 stop,18 hrs 30 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹13,931"
06:40,Varanasi,14:05,Bhopal,IndiGo,7 hrs 25 min,1 stop,,,DEL,Indira Gandhi International Airport,"₹15,014"
12:25,Varanasi,21:30,Bhopal,IndiGo,9 hrs 5 min,2 stops,,,HJR,Khajuraho Airport,"₹16,735"
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,2 hrs 10 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹16,956"
13:25,Varanasi,07:20,Bhopal,Air India,41 hrs 55 min,2 stops,23 hrs 15 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹16,956"
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,6 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹17,706"
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,10 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹17,785"
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,6 hrs 55 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,052"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,21 hrs 40 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,485"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,22 hrs 15 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,485"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,20 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,485"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,20 hrs 55 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,485"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,3 stops,21 hrs 15 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,485"
13:25,Varanasi,07:20,Bhopal,Air India,41 hrs 55 min,2 stops,18 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,500"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,9 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹18,597"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",46 hrs 25 min,2 stops,18 hrs 20 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹18,597"
19:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",40 hrs 10 min,2 stops,11 hrs 55 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹18,597"
13:25,Varanasi,07:20,Bhopal,"Air India, Air India Express",17 hrs 55 min,2 stops,10 hrs 25 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,653"
13:25,Varanasi,07:20,Bhopal,"Air India, Air India Express",17 hrs 55 min,2 stops,3 hrs 20 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,653"
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,8 hrs layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,671"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,10 hrs 50 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹18,688"
13:35,Varanasi,12:00,Bhopal,"Air India Express, Air India",22 hrs 25 min,2 stops,11 hrs 50 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹18,688"
13:25,Varanasi,16:00,Bhopal,Air India,26 hrs 35 min,2 stops,15 hrs 30 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,761"
13:25,Varanasi,16:00,Bhopal,"Air India, Air India Express",26 hrs 35 min,2 stops,10 hrs 25 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,825"
13:25,Varanasi,16:00,Bhopal,"Air India, Air India Express",26 hrs 35 min,2 stops,11 hrs 55 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,825"
16:15,Varanasi,12:00,Bhopal,"Air India Express, Air India",19 hrs 45 min,1 stop,15 hrs 55 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,825"
13:25,Varanasi,07:20,Bhopal,Air India,41 hrs 55 min,2 stops,23 hrs 45 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,830"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,23 hrs 35 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,830"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,23 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹18,830"
13:25,Varanasi,07:20,Bhopal,Air India,41 hrs 55 min,2 stops,20 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,"₹18,910"
19:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",40 hrs 10 min,2 stops,22 hrs 50 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹19,108"
14:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",45 hrs 15 min,2 stops,16 hrs 35 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹19,235"
